설치장소명	설치장소상세	설치시도명	설치시군구명	설치시설구분	서비스제공사명	와이파이SSID	설치년월	소재지도로명주소	소재지지번주소	관리기관명	관리기관전화번호	위도	경도	데이터기준일자
북부정류장	쉼터공원	대구광역시	서구	교통시설	LGU+	public Wifi		대구광역시 서구 서대구로295	대구광역시 서구 비산동 1856-3	대구광역시 서구청	053-663-2473	35.885286	128.555135	2018-02-20
새마을금고 건너편	신사동 12-16(U존 방범)	서울특별시	은평구	기타	SK	Public WiFi@Seoul	16-Nov	서울특별시 은평구 갈현로1길24	서울특별시 은평구 신사동 12-16(U존 방범)	서울특별시청	02-2133-2871	37.599485	126.907637	2018-02-14
자주와기상 학원 건너편	신사동 23-45(어린이방범109)	서울특별시	은평구	기타	SK	Public WiFi@Seoul	16-Nov	서울특별시 은평구 증산로23길8	서울특별시 은평구 신사동 23-45(어린이방범109)	서울특별시청	02-2133-2871	37.597493	126.914474	2018-02-14
갈현초 정문 CCTV	갈현동 110-12(어린이방범30)	서울특별시	은평구	기타	SK	Public WiFi@Seoul	16-Nov	서울특별시 은평구 연서로27길 25-1	서울특별시 은평구 갈현동 110-12(어린이방범30)	서울특별시청	02-2133-2871	37.62002	126.916534	2018-02-14
중리동우체국	민원실	대구광역시	서구	기타	KT	public Wifi		대구광역시 서구 평리로148	대구광역시 서구 중리동 702-1	대구광역시 서구청	053-663-2473	35.858554	128.540615	2018-02-20
갈현초 후문 CCTV	갈현동 451-18(어린이방범45)	서울특별시	은평구	기타	SK	Public WiFi@Seoul	16-Nov	서울특별시 은평구 연서로29길 35	서울특별시 은평구 갈현동 451-18(어린이방범45)	서울특별시청	02-2133-2871	37.620602	126.917194	2018-02-14
평리3동우체국	우체국	대구광역시	서구	기타	KT	public Wifi		대구광역시 서구 국채보상로279	대구광역시 서구 평리동 1072-27	대구광역시 서구청	053-663-2473	35.871897	128.561431	2018-02-20
서구청	민원실	대구광역시	서구	관공서	KT	public Wifi		대구광역시 서구 국채보상로257	대구광역시 서구 평리동 1230-9	대구광역시 서구청	053-663-2473	35.871757	128.559175	2018-02-20
보건복지회	사무실	대구광역시	서구	서민·복지시설	LGU+	public Wifi		대구광역시 서구 국채보상로46길16	대구광역시 서구 평리동 1368-1	대구광역시 서구청	053-663-2473	35.86902	128.555827	2018-02-20
서대구우체국	민원실	대구광역시	서구	기타	KT	public Wifi		대구광역시 서구 서대구로97	대구광역시 서구 평리동 1404-4	대구광역시 서구청	053-663-2473	35.866817	128.555185	2018-02-20
평리5동우체국	민원실	대구광역시	서구	기타	KT	public Wifi		대구광역시 서구 국채보상로161-1	대구광역시 서구 평리동 1535-12	대구광역시 서구청	053-663-2473	35.869621	128.548819	2018-02-20
갈현동 천주교성당CCTV	갈현동 430-17(어린이방범31)	서울특별시	은평구	기타	SK	Public WiFi@Seoul	16-Nov	서울특별시 은평구 통일로83길 23	서울특별시 은평구 갈현동 430-17(어린이방범31)	서울특별시청	02-2133-2871	37.621006	126.919121	2018-02-14
농협두류점	민원실	대구광역시	서구	기타	KT	public Wifi		대구광역시 서구 달구벌대로1797	대구광역시 서구 내당동 219-8	대구광역시 서구청	053-663-2473	35.859543	128.561404	2018-02-20
내당역	역사	대구광역시	서구	교통시설	LGU+	public Wifi		대구광역시 서구 달구벌대로1829	대구광역시 서구 내당동 63-1	대구광역시 서구청	053-663-2473	35.860565	128.564742	2018-02-20
비산5동	민원실	대구광역시	서구	관공서	LGU+	public Wifi		대구광역시 서구 팔달로170	대구광역시 서구 비산동 1041-3	대구광역시 서구청	053-663-2473	35.888579	128.568389	2018-02-20
농협원대동	농협	대구광역시	서구	기타	KT	public Wifi		대구광역시 서구 달서천로83길6	대구광역시 서구 원대동1가 77	대구광역시 서구청	053-663-2473	35.882079	128.57802	2018-02-20
대구의료원	민원실	대구광역시	서구	서민·복지시설	LGU+	public Wifi		대구광역시 서구 평리로157	대구광역시 서구 중리동 1162	대구광역시 서구청	053-663-2473	35.85964	128.540587	2018-02-20
청구병원후문(CCTV)	갈현동 403-1(주정차41)	서울특별시	은평구	기타	SK	Public WiFi@Seoul	16-Nov	서울특별시 은평구 통일로83길 7	서울특별시 은평구 갈현동 403-1(주정차41)	서울특별시청	02-2133-2871	37.601634	126.918575	2018-02-14
공사현장 앞(주차)	역촌동 38-9	서울특별시	은평구	기타	SK	Public WiFi@Seoul	16-Nov	서울특별시 은평구 진흥로1길 13	서울특별시 은평구 역촌동 38-9	서울특별시청	02-2133-2871	37.602511	126.918783	2018-02-14
현대 부동산 앞(주차)	역촌동 40-9	서울특별시	은평구	기타	SK	Public WiFi@Seoul	16-Nov	서울특별시 은평구 진흥로1길 24	서울특별시 은평구 역촌동 40-9	서울특별시청	02-2133-2871	37.616955	126.920235	2018-02-14
인조유기비어린이공원	역촌동 8-11 (공원CCTV)	서울특별시	은평구	기타	SK	Public WiFi@Seoul	16-Nov	서울특별시 은평구 연서로14길 4	서울특별시 은평구 역촌동 8-11 (공원CCTV)	서울특별시청	02-2133-2871	37.608709	126.916528	2018-02-14
새마을금고(CCTV)	대조동 200-2	서울특별시	은평구	기타	SK	Public WiFi@Seoul	16-Nov	서울특별시 은평구 연서로26길 8	서울특별시 은평구 대조동 200-2	서울특별시청	02-2133-2871	37.619847	126.920456	2018-02-14
시내공원(응암어린이)	응암동 85-41(공원CCTV)	서울특별시	은평구	기타	SK	Public WiFi@Seoul	16-Nov	서울특별시 은평구 은평로11길 10	서울특별시 은평구 응암동 85-41(공원CCTV)	서울특별시청	02-2133-2871	37.601651	126.923598	2018-02-14
장애인보호작업장	아파트 상가	대구광역시	서구	서민·복지시설	KT	public Wifi		대구광역시 서구 국채보상로46길57동서3차 아파트상가	대구광역시 서구 평리동 1354-1	대구광역시 서구청	053-663-2473	35.865402	128.557182	2018-02-20
비산4동주민센터	헬스장	대구광역시	서구	관공서	KT	public Wifi		대구광역시 서구 국채보상로78길29-4	대구광역시 서구 비산동 213-18	대구광역시 서구청	053-663-2473	35.869796	128.57429	2018-02-20
평리2동주민센터	헬스장	대구광역시	서구	관공서	KT	public Wifi		대구광역시 서구 국채보상로60길6	대구광역시 서구 평리동 1100-7	대구광역시 서구청	053-663-2473	35.871224	128.56368	2018-02-20
보건소	민원실	대구광역시	서구	서민·복지시설	KT	public Wifi		대구광역시 서구 국채보상로257	대구광역시 서구 평리동 1230-9	대구광역시 서구청	053-663-2473	35.871757	128.559175	2018-02-20
노인복지관	사무실	대구광역시	서구	서민·복지시설	KT	public Wifi		대구광역시 서구 문화로 288	대구광역시 서구 평리1동1044-4	대구광역시 서구청	053-663-2473	35.875497	128.564076	2018-02-20
북부정류장	쉼터공원	대구광역시	서구	교통시설	KT	public Wifi		대구광역시 서구 서대구로295	대구광역시 서구 비산동 1856-3	대구광역시 서구청	053-663-2473	35.885286	128.555135	2018-02-20
구민건강증진센터	민원실	대구광역시	서구	서민·복지시설	KT	public Wifi		대구광역시 서구 북비산로71길7	대구광역시 서구 비산동 42-107	대구광역시 서구청	053-663-2473	35.880192	128.572434	2018-02-20
건강생활지원센터	민원실	대구광역시	서구	서민·복지시설	KT	public Wifi		대구광역시 서구 서대구로7길46	대구광역시 서구 내당동 305-22	대구광역시 서구청	053-663-2473	35.860737	128.551439	2018-02-20
서구청(별관)	정보화교육장	대구광역시	서구	관공서	KT	public Wifi		대구광역시 서구 국채보상로257	대구광역시 서구 평리동 1230-9	대구광역시 서구청	053-663-2473	35.871757	128.559175	2018-02-20
이현시장	시장내	대구광역시	서구	기타	KT	public Wifi		대구광역시 서구 문화로33길24	대구광역시 서구 평리동 606-8	대구광역시 서구청	053-663-2473	35.876944	128.550645	2018-02-20
중리시장	시장내	대구광역시	서구	기타	KT	public Wifi		대구광역시 서구 국채보상로31길12	대구광역시 서구 평리동 1538-3	대구광역시 서구청	053-663-2473	35.870298	128.547822	2018-02-20
내당1동주민센터	민원실	대구광역시	서구	관공서	KT	public Wifi		대구광역시 서구 서대구로4길35	대구광역시 서구 내당동 214-33	대구광역시 서구청	053-663-2473	35.860652	128.560699	2018-02-20
내당4동주민센터	민원실	대구광역시	서구	관공서	KT	public Wifi		대구광역시 서구 서대구로3길46	대구광역시 서구 내당동 354-7	대구광역시 서구청	053-663-2473	35.858942	128.551748	2018-02-20
녹번마을마당	녹번동 104-7	서울특별시	은평구	기타	SK	Public WiFi@Seoul	16-Nov	서울특별시 은평구 녹번로3가길 1	서울특별시 은평구 녹번동 104-7	서울특별시청	02-2133-2871	37.606105	126.927625	2018-02-14
"비산2,3동"	민원실	대구광역시	서구	관공서	KT	public Wifi		대구광역시 서구 국채보상로81길43	대구광역시 서구 비산동 125-22	대구광역시 서구청	053-663-2473	35.875814	128.574717	2018-02-20
관동공원	불광동 270-11(방범CCTV)	서울특별시	은평구	기타	SK	Public WiFi@Seoul	16-Nov	서울특별시 은평구 통일로68가길 20	서울특별시 은평구 불광동 270-11(방범CCTV)	서울특별시청	02-2133-2871	37.613598	126.929874	2018-02-14
비산5동	청사입구	대구광역시	서구	관공서	KT	public Wifi		대구광역시 서구 달서천로61안길17	대구광역시 서구 비산동1185-41	대구광역시 서구청	053-663-2473	35.886106	128.570085	2018-02-20
향림도시농업체험원 관리소	불광2동 458-1(공원 관리사무소)	서울특별시	은평구	기타	SK	Public WiFi@Seoul	16-Nov	서울특별시 은평구 연서로43길 16-13	서울특별시 은평구 불광2동 458-1(공원 관리사무소)	서울특별시청	02-2133-2871	37.627817	126.926798	2018-02-14
비산7동	민원실	대구광역시	서구	관공서	KT	public Wifi		대구광역시 서구 염색공단로5길4	대구광역시 서구 비산동1890-2	대구광역시 서구청	053-663-2473	35.887997	128.553547	2018-02-20
새장골공원	불광동 444-1(공원CCTV)	서울특별시	은평구	기타	SK	Public WiFi@Seoul	16-Nov	서울특별시 은평구 연서로37가길 10-12	서울특별시 은평구 불광동 444-1(공원CCTV)	서울특별시청	02-2133-2871	37.625436	126.926179	2018-02-14
평리3동	민원실	대구광역시	서구	관공서	KT	public Wifi		대구광역시 서구 문화로261	대구광역시 서구 평리동931-1	대구광역시 서구청	053-663-2473	35.875914	128.561304	2018-02-20
칠량면사무소 민원실	칠량면사무소 민원실	전라남도	강진군	관 공 서	SK	Public WiFi Free	2015	전라남도 강진군 칠량면 칠량로 67	전라남도 강진군 칠량면 칠량로 67	전라남도 강진군	061-430-3300	34.5727808	126.7818584	2017-11-29
상중이동	민원실	대구광역시	서구	관공서	KT	public Wifi		대구광역시 서구 평리로35길90-6	대구광역시 서구 중리동1082-11	대구광역시 서구청	053-663-2473	35.867927	128.544247	2018-02-20
도암면사무소 민원실	도암면사무소 민원실	전라남도	강진군	관 공 서	SK	Public WiFi Free	2015	전라남도 강진군 도암면 도암중앙로 73	전라남도 강진군 도암면 도암중앙로 73	전라남도 강진군	061-430-3300	34.5461307	126.7102501	2017-11-29
새길시장	시장내	대구광역시	서구	기타	KT	public Wifi		대구광역시 서구 달서로4길9-34	대구광역시 서구 내당동 968-103	대구광역시 서구청	053-663-2473	35.864586	128.571653	2018-02-20
작천면사무소 민원실	작천면사무소 민원실	전라남도	강진군	관 공 서	SK	Public WiFi Free	2015	전라남도 강진군 작천면 평리3길 2	전라남도 강진군 작천면 평리3길 2	전라남도 강진군	061-430-3300	34.7043093	126.7539568	2017-11-29
군동보건지소	군동보건지소	전라남도	강진군	관 공 서	SK	Public WiFi Free	2015	전라남도 강진군 군동면 진흥로 324-9	전라남도 강진군 군동면 진흥로 324-9	전라남도 강진군	061-430-3300	34.6436392	126.7986246	2017-11-29
병영5일시장	병영5일시장	전라남도	강진군	전통시장	SK	Public WiFi Free	2015	전라남도 강진군 병영면 남삼인길 6	전라남도 강진군 병영면 남삼인길 6	전라남도 강진군	061-430-3300	34.713753	126.7981307	2017-11-29
남목1동주민센터	민원실	울산광역시	동구	관공서	LGU+	Public Wifi	14-Dec	울산광역시 동구 방어진순환도로 1170	울산광역시 동구 서부동 522-1	울산광역시 동구청	052-209-3140	35.539523	129.420744	2018-01-01
남목2동주민센터	민원실	울산광역시	동구	관공서	LGU+	Public Wifi	14-Dec	울산광역시 동구 명덕6길 33	울산광역시 동구 서부동 113-190	울산광역시 동구청	052-209-3140	35.524794	129.431436	2018-01-01
남목3동주민센터	민원실	울산광역시	동구	관공서	LGU+	Public Wifi	14-Dec	울산광역시 동구 동해안로 100	울산광역시 동구 서부동 114-7	울산광역시 동구청	052-209-3140	35.546361	129.431387	2018-01-01
남목시장	시장 거리	울산광역시	동구	기타	LGU+	Public Wifi	15-Oct	울산광역시 동구 남목17길 16	울산광역시 동구 동부동 310-15	울산광역시 동구청	052-209-3140	35.542544	129.427248	2018-01-01
남목청소년문화의집	민원실	울산광역시	동구	서민·복지시설	LGU+	Public Wifi	13-Dec	울산광역시 동구 남목9길 13	울산광역시 동구 서부동 449	울산광역시 동구청	052-209-3140	35.541568	129.425225	2018-01-01
대송농수산물시장	시장 거리	울산광역시	동구	기타	KT	Public Wifi	13-Dec	울산광역시 동구 녹수길 25	울산광역시 동구 전하동 544-60	울산광역시 동구청	052-209-3140	35.49943	129.420952	2018-01-01
대송동주민센터	민원실	울산광역시	동구	관공서	LGU+	Public Wifi	14-Dec	울산광역시 동구 대송8길 6	울산광역시 동구 화정동 171-4	울산광역시 동구청	052-209-3140	35.503425	129.418406	2018-01-01
대왕암공원캠핑장	관리 사무실	울산광역시	동구	관광	KT	camping	16-Dec	울산광역시 동구 일산동 909	울산광역시 동구 일산동 909	울산광역시 동구청	052-209-3140	35.492404	129.439528	2018-01-01
동구보건소(울산)	민원실	울산광역시	동구	관공서	KT	Public Wifi	13-Dec	울산광역시 동구 봉수로 155	울산광역시 동구 화정동 222	울산광역시 동구청	052-209-3140	35.506637	129.418015	2018-01-01
동구청 민원실(울산)	민원실	울산광역시	동구	관공서	KT	Public Wifi	13-Dec	울산광역시 동구 봉수로 155	울산광역시 동구 화정동 222	울산광역시 동구청	052-209-3140	35.505092	129.416558	2018-01-01
동부시장	시장 거리	울산광역시	동구	기타	LGU+	Public Wifi	15-Oct	울산광역시 동구 남목17길 16	울산광역시 동구 동부동 310-15	울산광역시 동구청	052-209-3140	35.542834	129.42813	2018-01-01
동울산종합시장	시장 거리	울산광역시	동구	기타	LGU+	Public Wifi	14-Dec	울산광역시 동구 진성14길 77	울산광역시 동구 전하동 661-1	울산광역시 동구청	052-209-3140	35.508875	129.425416	2018-01-01
바드래문화관	민원실	울산광역시	동구	지역문화시설	KT	Badrae	16-Aug	울산광역시 동구 진성8길 91	울산광역시 동구 전하동 652-4	울산광역시 동구청	052-209-3140	35.509375	129.429311	2018-01-01
방어동주민센터	민원실	울산광역시	동구	관공서	LGU+	Public Wifi	14-Dec	울산광역시 동구 꽃바위로 325	울산광역시 동구 방어동 413-1	울산광역시 동구청	052-209-3140	35.486317	129.423885	2018-01-01
소리체험관	민원실	울산광역시	동구	관광	KT	donggu sound	16-Jul	울산광역시 동구 성끝길 103	울산광역시 동구 방어동 3-42	울산광역시 동구청	052-209-3140	35.480944	129.432781	2018-01-01
울산 동구노인복지관	민원실	울산광역시	동구	서민·복지시설	LGU+	Public Wifi	13-Dec	울산광역시 동구 명덕6길 33	울산광역시 동구 서부동 113-190	울산광역시 동구청	052-209-3140	35.52481	129.431437	2018-01-01
"스포츠산업단 체육관, 수영장"	"스포츠산업단 체육관, 수영장"	전라남도	강진군	관 공 서	SK	Public WiFi Free	2015	전라남도 강진군 군동면 종합운동장길 60	전라남도 강진군 군동면 종합운동장길 60	전라남도 강진군	061-430-3300	34.6465521	126.7649667	2017-11-29
산내들지역아동센터	산내들지역아동센터	전라남도	강진군	복지시설	SK	Public WiFi Free	2015	전라남도 강진군 마량면 삼마로 7-8	전라남도 강진군 마량면 삼마로 7-8	전라남도 강진군	061-430-3300	34.450253	126.8018738	2017-11-29
월봉시장	시장 거리	울산광역시	동구	기타	LGU+	Public Wifi	15-Oct	울산광역시 동구 화정6길 5	울산광역시 동구 화정동 647-28	울산광역시 동구청	052-209-3140	35.494107	129.425395	2018-01-01
일산동주민센터	민원실	울산광역시	동구	관공서	LGU+	Public Wifi	14-Dec	울산광역시 동구 번덕7길 30	울산광역시 동구 일산동 578-16	울산광역시 동구청	052-209-3140	35.498034	129.426267	2018-01-01
장애인복지관	민원실	울산광역시	동구	서민·복지시설	LGU+	Public Wifi	14-Dec	울산광역시 동구 방어진순환도로 1271	울산광역시 동구 서부동 615	울산광역시 동구청	052-209-3140	35.532469	129.414434	2018-01-01
전하1동주민센터	민원실	울산광역시	동구	관공서	LGU+	Public Wifi	14-Dec	울산광역시 동구 바드래3길 55	울산광역시 동구 전하동 300-168	울산광역시 동구청	052-209-3140	35.516846	129.428638	2018-01-01
전하2동주민센터	민원실	울산광역시	동구	관공서	LGU+	Public Wifi	14-Dec	울산광역시 동구 진성4길 45	울산광역시 동구 전하동 663-1	울산광역시 동구청	052-209-3140	35.508992	129.426813	2018-01-01
조선희망센터	민원실	울산광역시	동구	기타	KT	hopecenter Wifi	16-Aug	울산광역시 동구 방어진순환도로 1145	울산광역시 동구 서부동 582-5	울산광역시 동구청	052-209-3140	35.539268	129.423755	2018-01-01
동구보건지소	지소내	대전광역시	동구	관공서	SK	public wifi	2015-01-01	대전광역시 동구 현암로22	대전광역시 동구  삼성동374-1	대전광역시 동구청	042-251-4174	36.34288	127.42047	2017-11-30
화정동주민센터	민원실	울산광역시	동구	관공서	LGU+	Public Wifi	14-Dec	울산광역시 동구 대송로 140	울산광역시 동구 화정동 857-1	울산광역시 동구청	052-209-3140	35.495876	129.422579	2018-01-01
강북문화예술회관	광장및1층로비	서울특별시	강북구	지역문화시설	서울특별시 강북구청	PublicWiFi@Gangbuk	12-Oct	서울특별시 강북구 삼각산로 85 (수유동)	서울특별시 강북구 수유동 360-10	강북구도시관리공단	02-944-3115	37.6408544	127.0133421	2018-02-22
강북웰빙스포츠센터	관내 로비	서울특별시	강북구	지역문화시설	서울특별시 강북구청	PublicWiFi@Gangbuk	12-Oct	서울특별시 강북구 오현로31길 51	서울특별시 강북구 번2동 318	강북구도시관리공단	02-944-3115	37.6304749	127.0378273	2018-02-22
강북문화정보도서관	각 자료열람실 및 로비	서울특별시	강북구	지역문화시설	서울특별시 강북구청	PublicWiFi@Gangbuk	12-Oct	서울특별시 강북구 오현로 145 (번동)	서울특별시 강북구 번2동 산27-108	강북구도시관리공단	02-944-3115	37.6251737	127.0361251	2018-02-22
강북청소년문화정보도서관	각 자료열람실 및 로비	서울특별시	강북구	지역문화시설	서울특별시 강북구청	PublicWiFi@Gangbuk	12-Oct	서울특별시 강북구 삼양로54길 68 (미아동)	서울특별시 강북구 미아동 754-60	강북구도시관리공단	02-944-3115	37.6231131	127.0216031	2018-02-22
솔샘문화정보도서관	각 자료열람실 및 로비	서울특별시	강북구	지역문화시설	서울특별시 강북구청	PublicWiFi@Gangbuk	12-Oct	서울특별시 강북구 솔샘로 177 (미아동)	서울특별시 강북구 삼양동 1354-4	강북구도시관리공단	02-944-3115	37.6205181	127.0124524	2018-02-22
송중문화정보도서관	각 자료열람실 및 로비	서울특별시	강북구	지역문화시설	서울특별시 강북구청	PublicWiFi@Gangbuk	12-Oct	서울특별시 강북구 도봉로20나길 6 (미아동)	서울특별시 강북구 미아동 138-11	강북구도시관리공단	02-944-3115	37.6183421	127.0300331	2018-02-22
수유문화정보도서관	각 자료열람실 및 로비	서울특별시	강북구	지역문화시설	서울특별시 강북구청	PublicWiFi@Gangbuk	12-Oct	서울특별시 강북구 삼양로 299 (수유동)	서울특별시 강북구 수유동 605-412	강북구도시관리공단	02-944-3115	37.630129	127.017543	2018-02-22
미아문화정보도서관	각 자료열람실 및 로비	서울특별시	강북구	지역문화시설	서울특별시 강북구청	PublicWiFi@Gangbuk	12-Oct	서울특별시 강북구 솔매로49길 14 (미아동)	서울특별시 강북구 미아동 197-1	강북구도시관리공단	02-944-3115	37.6270633	127.0269805	2018-02-22
서부재활체육센터	구산동 191-1	서울특별시	은평구	서민·복지시설	미래부	Public WiFi FREE	14-Oct	서울특별시 은평구 갈현로11길 30	서울특별시 은평구 구산동 191-1	미래부	1899-4876	37.605202	126.907557	2018-02-14
녹번종합사회복지관	녹번동 산28-6	서울특별시	은평구	서민·복지시설	미래부	Public WiFi FREE	13-Oct	서울특별시 은평구 은평로21길 14-26	서울특별시 은평구 녹번동 산28-6	미래부	1899-4876	37.602723	126.931791	2018-02-14
보은군 민원과	민원과 1층	충청북도	보은군	관공서	KT	Public WiFi Free		충청북도 보은군 보은읍 삼산로 50		충청북도 보은군청	043-540-3126	36.483502	127.716879	2018-02-19
보은읍사무소	복지민원계	충청북도	보은군	관공서	KT	Public WiFi Free		충청북도 보은군 보은읍 삼산로 50		충청북도 보은군청	043-540-3126	36.483581	127.717145	2018-02-19
보은군 보건소	진료실	충청북도	보은군	관공서	KT	Public WiFi Free		충청북도 보은군 보은읍 동광길 50		충청북도 보은군청	043-540-3126	36.486685	127.716142	2018-02-19
속리산면사무소	복지민원계	충청북도	보은군	관공서	KT	Public WiFi Free		충청북도 보은군 속리산면 법주사로 12		충청북도 보은군청	043-540-3126	36.512198	127.810358	2018-02-19
장안면사무소	복지민원계	충청북도	보은군	관공서	KT	Public WiFi Free		충청북도 보은군 장안면 장안로 37		충청북도 보은군청	043-540-3126	36.469944	127.789028	2018-02-19
마로면사무소	복지민원계	충청북도	보은군	관공서	KT	Public WiFi Free		충청북도 보은군 마로면 관기송현로 103		충청북도 보은군청	043-540-3126	36.435761	127.820382	2018-02-19
탄부면사무소	복지민원계	충청북도	보은군	관공서	KT	Public WiFi Free		충청북도 보은군 탄부면 하장2길 15		충청북도 보은군청	043-540-3126	36.430721	127.795878	2018-02-19
삼승면사무소	복지민원계	충청북도	보은군	관공서	KT	Public WiFi Free		충청북도 보은군 삼승면 안내삼승로 687		충청북도 보은군청	043-540-3126	36.395877	127.727681	2018-02-19
삼승보건지소	진료실	충청북도	보은군	관공서	KT	Public WiFi Free		충청북도 보은군 삼승면 원남로1길 39		충청북도 보은군청	043-540-3126	36.397929	127.734337	2018-02-19
속리산보건지소	진료실	충청북도	보은군	관공서	KT	Public WiFi Free		충청북도 보은군 속리산면 법주사로 248-22		충청북도 보은군청	043-540-3126	36.531168	127.823151	2018-02-19
내북보건지소	진료실	충청북도	보은군	관공서	KT	Public WiFi Free		충청북도 보은군 내북면 남부로 6239		충청북도 보은군청	043-540-3126	36.577348	127.660547	2018-02-19
산외보건지소	진료실	충청북도	보은군	관공서	KT	Public WiFi Free		충청북도 보은군 산외면 구티1길 19-5		충청북도 보은군청	043-540-3126	36.551809	127.730925	2018-02-19
동부통합보건지소	진료실	충청북도	보은군	관공서	KT	Public WiFi Free		충청북도 보은군 마로면 관기송현로 65		충청북도 보은군청	043-540-3126	36.436402	127.816456	2018-02-19
보은전통시장	시장 전체	충청북도	보은군	기타	KT	Public WiFi Free		충청북도 보은군 보은읍 삼산로 17-6 일대		충청북도 보은군청	043-540-3126	36.483812	127.720086	2018-02-19
보은종합시장	시장 전체	충청북도	보은군	기타	KT	Public WiFi Free		충청북도 보은군 보은읍 삼산로3길 12 일대		충청북도 보은군청	043-540-3126	36.483011	127.719343	2018-02-19
보은국민체육센터	1층	충청북도	보은군	편의시설	보은군청	Boeun WiFi Free		충청북도 보은군 보은읍 군청길 38-1		충청북도 보은군청	043-540-3126	36.488423	127.729181	2018-02-19
보은공설운동장	운동장 전역	충청북도	보은군	편의시설	보은군청	Boeun WiFi Free		충청북도 보은군 보은읍 군청길 40		충청북도 보은군청	043-540-3126	36.487333	127.729851	2018-02-19
뱃들공원	야외공연장	충청북도	보은군	편의시설	보은군청	Boeun WiFi Free			충청북도 보은군 보은읍 이평리 175-1	충청북도 보은군청	043-540-3126	36.486301	127.723477	2018-02-19
평택보건소	"2F(구강진료실앞, 프로그램실앞, 임상병리실앞, 휴게실앞), 1F(모자보건소앞, 휴게실앞), B1(상황실 및 교육실내)"	경기도	평택시	관공서	public WiFi free		15-Nov	경기도 평택시 평택5로 56	경기도 평택시 비전동 850	경기도 평택시청	031-8024-2441	36.990761	127.103064	2018-02-19
통복시장	경기도 평택시 통복시장로25번길 10	경기도	평택시	서민·복지시설	public WiFi free		15-Jan	경기도 평택시 통복시장로25번길 10	경기도 평택시 통복동 70-29	경기도 평택시청	031-8024-2441	36.997785	127.076319	2018-02-19
서정시장	경기도 평택시 서정역로55번길 21	경기도	평택시	서민·복지시설	public WiFi free		15-Jan	경기도 평택시 서정역로55번길 21	경기도 평택시 서정동 317-2	경기도 평택시청	031-8024-2441	37.057598	127.045801	2018-02-19
국제중앙시장	경기도 평택시 중앙시장로11번길 15-10	경기도	평택시	서민·복지시설	public WiFi free		15-Jan	경기도 평택시 중앙시장로11번길 15-10	경기도 평택시 신장동 317-2	경기도 평택시청	031-8024-2441	37.080647	127.043211	2018-02-19
안중시장	경기도 평택시 안중읍 안현로서3길 29	경기도	평택시	서민·복지시설	public WiFi free		15-Jan	경기도 평택시 안중읍 안현로서3길 29	경기도 평택시 안중읍 안중리 267-1	경기도 평택시청	031-8024-2441	36.987443	126.919537	2018-02-19
